Numero Ocorrencia,Data,,,Hora,Uf,,Br,Km,Latitude,Longitude,Natureza Enquadramento,,,Municipio,Envolvimento,Qtd Assalto a Caminhão,Qtde Envolvido,Qtde Veiculo
C1395513170209111300,9/2/2017,"Quinta-feira, 9 de Fevereiro de 2017",2017-02-09,2,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,SIMOLANDIA,Vítima,1,1,4
C1406018170512013500,12/5/2017,"Sexta-feira, 12 de Maio de 2017",2017-05-12,1,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,EUSEBIO,Vítima,1,1,0
C1417784170128095500,28/1/2017,"Sábado, 28 de Janeiro de 2017",2017-01-28,9,SP,SÃO PAULO,116 ,280,-23.646199,-46.841399,461,ROUBO A CAMINHÃO,ROUBO,EMBU DAS ARTES,Vítima,1,1,1
C1417932170310111500,10/3/2017,"Sexta-feira, 10 de Março de 2017",2017-03-10,10,PE,PERNAMBUCO,101 ,70,-8.067799,-34.942699,461,ROUBO A CAMINHÃO,ROUBO,RECIFE,Vítima,1,1,1
C1461549170422141800,22/4/2017,"Sábado, 22 de Abril de 2017",2017-04-22,14,PE,PERNAMBUCO,232 ,422,-8.000199,-38.372499,461,ROUBO A CAMINHÃO,ROUBO,SERRA TALHADA,Vítima,1,2,1
C1461564170128071400,28/1/2017,"Sábado, 28 de Janeiro de 2017",2017-01-28,2,CE,CEARÁ,116 ,141,-4.779099,-38.049299,461,ROUBO A CAMINHÃO,ROUBO,RUSSAS,Vítima,1,1,2
C1461564170128090300,28/1/2017,"Sábado, 28 de Janeiro de 2017",2017-01-28,2,CE,CEARÁ,116 ,112,-4.588099,-38.218099,461,ROUBO A CAMINHÃO,ROUBO,RUSSAS,Vítima,1,1,0
C1462303170201224700,1/2/2017,"Quarta-feira, 1 de Fevereiro de 2017",2017-02-01,22,RJ,RIO DE JANEIRO,101 ,308,-22.792799,-43.024099,461,ROUBO A CAMINHÃO,ROUBO,SAO GONCALO,Testemunha,1,1,1
C1462335170313121900,13/3/2017,"Segunda-feira, 13 de Março de 2017",2017-03-13,12,RJ,RIO DE JANEIRO,116 ,89,-22.461299,-42.982499,461,ROUBO A CAMINHÃO,ROUBO,TERESOPOLIS,Vítima,1,1,1
C1462335170501080700,1/5/2017,"Segunda-feira, 1 de Maio de 2017",2017-05-01,3,RJ,RIO DE JANEIRO,116 ,139,-22.653899,-43.241999,461,ROUBO A CAMINHÃO,ROUBO,DUQUE DE CAXIAS,Vítima,1,1,1
C1462357170419182000,19/4/2017,"Quarta-feira, 19 de Abril de 2017",2017-04-19,14,RJ,RIO DE JANEIRO,116 ,163,-22.816699,-43.325099,461,ROUBO A CAMINHÃO,ROUBO,RIO DE JANEIRO,Vítima,1,1,1
C1462357170509235100,9/5/2017,"Terça-feira, 9 de Maio de 2017",2017-05-09,21,RJ,RIO DE JANEIRO,116 ,169,-22.791199,-43.369399,461,ROUBO A CAMINHÃO,ROUBO,SAO JOAO DE MERITI,Vítima,1,1,1
C1462357170618160400,18/6/2017,"Domingo, 18 de Junho de 2017",2017-06-18,12,RJ,RIO DE JANEIRO,116 ,180,-22.739999,-43.459499,461,ROUBO A CAMINHÃO,ROUBO,NOVA IGUACU,Vítima,1,1,1
C1462357170623045100,23/6/2017,"Sexta-feira, 23 de Junho de 2017",2017-06-23,2,RJ,RIO DE JANEIRO,116 ,207,-22.716199,-43.715799,461,ROUBO A CAMINHÃO,ROUBO,SEROPEDICA,Vítima,1,1,1
C1462465170409095000,9/4/2017,"Domingo, 9 de Abril de 2017",2017-04-09,9,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,CODO,Vítima,1,3,2
C1465805170528202000,28/5/2017,"Domingo, 28 de Maio de 2017",2017-05-28,20,BA,BAHIA,101 ,503,-14.770999,-39.291999,461,ROUBO A CAMINHÃO,ROUBO,ITABUNA,Testemunha,1,1,1
C1466054170217180200,17/2/2017,"Sexta-feira, 17 de Fevereiro de 2017",2017-02-17,18,PB,PARAÍBA,230 ,89,-7.170799,-35.383099,461,ROUBO A CAMINHÃO,ROUBO,GURINHEM,Vítima,1,2,5
C1467793170515045800,14/5/2017,"Domingo, 14 de Maio de 2017",2017-05-14,23,PA,PARÁ,316 ,180,-1.413599,-46.998399,461,ROUBO A CAMINHÃO,ROUBO,SANTA LUZIA DO PARA,Vítima,1,1,1
C1475267170215005900,15/2/2017,"Quarta-feira, 15 de Fevereiro de 2017",2017-02-15,0,DF,DISTRITO FEDERAL,020 ,36,-15.581899,-47.549499,461,ROUBO A CAMINHÃO,ROUBO,BRASILIA,Vítima,1,1,1
C1480319170324101100,24/3/2017,"Sexta-feira, 24 de Março de 2017",2017-03-24,2,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,GARANHUNS,Vítima,1,1,2
C1480406170220021000,19/2/2017,"Domingo, 19 de Fevereiro de 2017",2017-02-19,22,BA,BAHIA,101 ,4,-11.536799,-37.831599,461,ROUBO A CAMINHÃO,ROUBO,ENTRE RIOS,Vítima,1,1,1
C1480406170618131600,18/6/2017,"Domingo, 18 de Junho de 2017",2017-06-18,10,BA,BAHIA,101 ,1,-11.524199,-37.809499,461,ROUBO A CAMINHÃO,ROUBO,RIO REAL,Vítima,1,1,1
C1480406170618190500,18/6/2017,"Domingo, 18 de Junho de 2017",2017-06-18,18,SE,SERGIPE,101 ,199,-11.476699,-37.756399,461,ROUBO A CAMINHÃO,ROUBO,CRISTINAPOLIS,Autor,1,1,1
C1480406170618190500,18/6/2017,"Domingo, 18 de Junho de 2017",2017-06-18,18,SE,SERGIPE,101 ,199,-11.476699,-37.756399,461,ROUBO A CAMINHÃO,ROUBO,CRISTINAPOLIS,Coautor,1,1,1
C1480406170618190500,18/6/2017,"Domingo, 18 de Junho de 2017",2017-06-18,18,SE,SERGIPE,101 ,199,-11.476699,-37.756399,461,ROUBO A CAMINHÃO,ROUBO,CRISTINAPOLIS,Vítima,1,1,1
C1480459170522072200,21/5/2017,"Domingo, 21 de Maio de 2017",2017-05-21,19,RJ,RIO DE JANEIRO,116 ,273,-22.547599,-44.183499,461,ROUBO A CAMINHÃO,ROUBO,BARRA MANSA,Vítima,1,1,1
C1480463170614003000,13/6/2017,"Terça-feira, 13 de Junho de 2017",2017-06-13,22,CE,CEARÁ,116 ,82,-4.418399,-38.407099,461,ROUBO A CAMINHÃO,ROUBO,OCARA,Vítima,1,1,1
C1480536170320235700,20/3/2017,"Segunda-feira, 20 de Março de 2017",2017-03-20,22,RJ,RIO DE JANEIRO,101 ,309,-22.794699,-43.033399,461,ROUBO A CAMINHÃO,ROUBO,SAO GONCALO,Vítima,1,1,1
C1480561170423205900,23/4/2017,"Domingo, 23 de Abril de 2017",2017-04-23,20,RJ,RIO DE JANEIRO,393 ,163,-22.120399,-43.132999,461,ROUBO A CAMINHÃO,ROUBO,TRES RIOS,Vítima,1,1,1
C1480639170404084000,4/4/2017,"Terça-feira, 4 de Abril de 2017",2017-04-04,4,AL,ALAGOAS,101 ,2,-8.896199,-35.634899,461,ROUBO A CAMINHÃO,ROUBO,NOVO LINO,Vítima,1,2,4
